tweet,clasificacion
federico gutiérrez presidente de colombia,NEUTRAL
cambie de jibaro.,NEGATIVA
arriba negrita querida..colombia es de todos y p todos,POSITIVA
"no más miedo, sígueme y te sigo, hagamos posible el cambio este 29 de mayo. saldremos masivamente a votar presidente, vicepresidenta.",NEUTRAL
ahora si expliquen pues... o van a decir que no fueron ustedes?? que no son sus nombres y que esto es planeado por federico gutiérrez.... expliquen pues!!!,NEUTRAL
y usted pretende quitárnosla a todos los colombianos .,NEGATIVA
señor molano ¿quien cuenta con la fuerza pública? ¿nosotros los ciudadanos o ellos?,NEUTRAL
porque tienen afinidad,POSITIVA
ón llevo varios días preguntando cuál es la propuesta de seguridad frente a amenaza terrorista de guerrillas y paras a . ninguno respondió pero eso sí se acusan de todo disparate.,NEGATIVA
"ya terminé el en vivo... aquí lo pueden ver, sus comentarios serán bienvenidos y ojalá lo compartan!!!",NEUTRAL
el hampon,NEGATIVA
el cartel de narcoterroristas de la izquierda siniestra.,NEGATIVA
"lo d el expresidente uribe, es un 'entrampamiento'd senador d l farc, en algún momento saldra l verdad,en cambio usted exguerrillero será hasta el final d sus dias, nunca podrá cambiar esa imagen grotesca d ese ser malvado q lleva por dentro!!!",NEGATIVA
ciénaga/magdalena esta más que comprometido con el cambio y la política de la vida.,POSITIVA
acrostico de petro pobreza expropiación tirania ruina oscuridad,NEGATIVA
hasta tienen dos pensiones..,NEUTRAL
hay que prepararse.,NEUTRAL
se peude seguir,NEUTRAL
jajjajajajja,NEUTRAL
la primera ves que sale el cartel de los sapos todos completos,NEGATIVA
"oiga 'aureliano' por favor saqueme de una duda usted fue indultado, si o no? este documento es verdadero o falso?",NEUTRAL
ya va a nacionalizar los elementos reciclados volverlos monopolio del estado llamándolos estratégicos y así dañar el libre mercado de los mismos.,NEGATIVA
gran caravana en cali la sucursal de la resistencia,NEUTRAL
eres un amor,POSITIVA
siga así...,NEUTRAL
"la luna está muy hermosa , amó cuesta la luna en está noche amo la luna mayo 7 2022 á",POSITIVA
papu tenés la coherencia en el culo..,NEGATIVA
"grave,cada vez sera peor que ella participe en ésto,ella participa en otras cosas.muy mal que ella tenga casi que un conflicto de intereses y no se vea impedida.y simbolicamente es muy revictimizante para las miles de mujeres que han sido agredidas en partidos o movimientos.",NEGATIVA
"que hp es que no tiene derecho a usar marca de zapatos? ,la envidia es mejor ,despertarla que sentirla",NEGATIVA
¡haremos historia! cambio por la vida,POSITIVA
arnulfo padilla ¡haremos historia!,NEUTRAL
"urgente sobre financiación campaña de podría haber acuerdo bilateral usa y colombia que permitiría rebaja de pena a exgeneral hugo carvajal, exjefe de inteligencia militar de venezuela, quien ofreció a colombia hablar también sobre secretos de estado.",NEUTRAL
muy bien por ti.nada se va a perder,POSITIVA
petro presidente. valiente mi pueblo. no pasaran la mafia del poder,POSITIVA
"una foto sin el candidato y la otra con el candidato, si la toma hoy va a estar más solo!!!",NEUTRAL
"fuerza fortaleza y dignidad es lo que ud nos enseña con ese talante y actitud, con la bendición de dios y protección divina",POSITIVA
yo creo que esta gente se ríe de lo qué dice como hacen por favor,NEUTRAL
y sigues recibiendo bono devolución gobierno como petro salario mínimo de congresista,NEUTRAL
"un ignorante como yo, le puede dar clases de historia, ciencia economía y política. ¿por que? porque me he dedicado a estudiar la historia de mi país y de latinoamérica y como fuimos colonizados con barbaries y sometiendo a nuestras razas a costumbres y culturas europeas.",NEUTRAL
"don fico lo veo mal,lo veo nervioso,preocupado y culpando a petro de su derrota ...para que carajo va petro a infiltrar su campaña?sea buen demócrata y no saque falsos cantinflescos que no le quedan para nada bien..petro y francia pres",NEGATIVA
"es decir que al uribismo no le sirvió la retórica de que nos iba a volver venezuela y ahora nos quieren vender la idea que lidera el clan del golfo, alias chiquito malo y los uribeños se pasan de calidad o creen a la gente tonta.",NEGATIVA
mande ubicación de una vez,NEUTRAL
digan lo que diga de mis votos están fijado en ideales del presidente petro,NEUTRAL
no se preocupe que a todos los amenazan.,NEGATIVA
se le olvidó la hora!!! puede ser empezando o ya terminado el evento.,NEUTRAL
ok linda ya te estoy suguiendo,NEUTRAL
más comprensión de lectura ¿dije que usted es uribista? una comparación no es una afirmación.,NEUTRAL
"¡haremos historia! esta es la campaña del amor, de la vida y la esperanza  este 29 de mayo unidos vamos a elegir el cambio por la vida de la mano con y",POSITIVA
"pero serían muy brutos los narcotraficantes de la cordillera querer asesinar al único candidato que les ha ofrecido perdón y olvido, además ud sabe muy bien que los criminales no avisan, o acaso uds le avisaron a josé raquel mercado o a los magistrados del pj ?",NEGATIVA
"¿señor en dónde dice que no opine? como todo uribista, todo lo distorcionan ¡qué hijueputa es usted!",NEGATIVA
!!!ayúdenme a retwittear!!! sígueme y te sigo  colombia nos necesita presidente nuestra vice  oriente antioqueño presente,NEUTRAL
"asamblea del colectivo sumando a la campaña de y , la campaña no para.",POSITIVA
siga creyendo que bueno que piensen eso para que la caída sea más fuerte bufón!,NEGATIVA
ese el cambio querían y por aquí en colombia tambien .,NEUTRAL
tu capacidad argumentativa desborda conocimiento.,POSITIVA
señor petro ud sabe bastante de chatarra,NEGATIVA
entonces bro vota por que esperas la tienes fácil. antes porque todos eran lo mismo ahora tenemos alternativa de cambio con garantía 100% pueblo y apoyo social y barrial como debe ser. maní en tus manos está el futuro y presente de tu país vota petro presidente,POSITIVA
"estos amigos míos se han tomado el trabajo enserio como debe ser, olaya vota petro presidente. ni pagando 50k por personas logran superar las 100 personas en una marcha o una plaza pública. el 14 de mayo en cartagena ya verán.",POSITIVA
en realidad ellos han estado a favor del movimiento saturando los hashtags del uribismo que emite falsas tendencias. han controlado eso durante las épocas de paros y disputas entre el pueblo y el país,POSITIVA
el sueño anhelado. de muchos bienvenidos al cambio. con,POSITIVA
del río lo confesó y el loco candidato lo niega . mucho sinvergüenza,NEGATIVA
"y no olvidar que una estructura criminal en donde también hay chiquitos malos y grandes malos, quieren matar a . aquí todo se olvida. todos esos chiquitos son malos, malos.",NEGATIVA
"el día que se una a no vuelvo a creer en política.petro cambio al todo vale, petro ya no es el cambio.",NEGATIVA
"una abogada afrodescendiente, será la nueva vicepresidenta y nuestro presidente.",NEUTRAL
¿cómo me comprueba que es a la misma hora?.,NEUTRAL
le manda saludos a la comunidad de de colombia. le aseguro que muchas personas de esta comunidad tenemos capacidad de voto y estamos con usted y francia,NEUTRAL
"el clorhídrico de cocina sintético no está muy lejos,tecnología quimica acabará círculo vicioso x poder narcotraficante,creando gestal para farmacodependientes como son los opiaceos,anfetaminas, drogas de diseño. consumo no se acabará,violencia se aplicará.",NEGATIVA
"claro no habrá comida para nadie, sencillo.",NEGATIVA
hola alias el cacas .,NEUTRAL
mentir se les hizo práctica recurrente en la campaña de .,NEGATIVA
se llegó la hora del gobierno popular hoy en cali decimos,NEUTRAL
amigo buenas noches desde las tierras del sinú. acá sitiados por el paro armando. arrollador en valledupar!!,NEUTRAL
presidente de colombia,NEUTRAL
"no soy ni bot, ni títere, ni es mi mesías. lo critico cuando la caga sí y cuando la caga no. yo no soy tan estúpido como usted como para estar completamente seguro de que un ser humano como yo no va a cometer cargadas. ahí estaré para criticarlo. oís payasín",NEGATIVA
muy claro,POSITIVA
que susto tan,NEGATIVA
ahí le mandan a decir clarito los que usted significa pa nosotros,NEUTRAL
la verdad confieso que me siento tan útil y feliz por estar dedicando gran parte de mi tiempo a esta campaña. una golondrina no hace verano pero muchas sí.gracias al senador y al equipo de por estar oportunidad. firmes con &amp;,POSITIVA
mejor votar por uds uds son inigualables ¿cómo les quedó el ojo con el fallo de la corte?,POSITIVA
señor y esta es mi bandera así de esa dólar no al revés respete los símbolos patrios al menos.,NEUTRAL
se llamaba el idema....volverá este exitoso y justo modelo de mercadeo social...?!?*,POSITIVA
"el,q nos quiere robar nuestra libertad y democracia es ud.malparido asesino junto con su caterva d criminales del",NEGATIVA
se nota el cambio de horario en las fotos,NEUTRAL
"se limpia el culo con las promesas de él, calculen lo serio que es para cumplir.",NEGATIVA
"¿q es el perdón social?yo di el perdón social al estado por las múltiples atrocidades, donde mi familia materna fue desplazada en la guerra q se generó entre liberales y conservadores, eso no quiere decir q la justicia no ejerza su función, eso va para guerrillas y paramilitares",NEUTRAL
"si queremos votar por gustavo petro presidente y francia márquez vicepresidente, pero los líderes del pacto histórico el la guajira, se hacen los rogados, y nisiquiera se acercan ni hablan con las bases.",NEGATIVA
"incluida, patricia linares de la jep.",NEUTRAL
recuerden bien que esta e grupo de narco paramilitares ha amenazado abiertamente a y varios líderes progresistas.,NEGATIVA
"ni el calor, ni el sol, ni la hora, fue impedimento para ver a",NEUTRAL
los amo . vamos por el cambio y es la hora el comienzo de empezar una mejor colombia . estoy con ustedes . aquí está en un barrio uribista con una mujer de tendencia liberal y mamerta que quiere un mejor país .,POSITIVA
en serio? y usted solito se inventó esa? ufff que maestro de la mentira estas hecho.,NEGATIVA
juegan con el hambre y la necesidad de los incautos y después les roban la comida.,NEGATIVA
"jajaja foto tomada horas antes del evento. mi hermano estuvo allá por el y estaba llena. por demás una foto desde la tarima, la otra desde atrás antes de iniciar. comprendes capullo?",NEUTRAL
lo dice un fiscal corrupto,NEGATIVA
toda una vida amando a colombia con amor del bueno!!! por eso la historia le permitirá ser presidente,POSITIVA
"eso duele ,estresa y tumba pelo",NEGATIVA
"upa, upa, voy a votar por perdon cierto que",NEUTRAL
no te creo..,NEGATIVA
alguna prepago uribestia,NEGATIVA
"yo pienso igual en cuanto a conocimiento en matemáticas, y más en uno que tenga dizque doctorado en lógica. el modus ponens dice p-&gt;q"" si se da ""p"" se sigue ""q"". parece que al doctor en lógica se le olvidó aplicarlo en campaña. a ti te noto resentida, ve y cuenta hasta 10""",NEGATIVA
"gran encuentro entre la senadora y quien aspira a la presidencia de , . es el y la , con los ñía - , y el resto de todas las especies de .",POSITIVA
"leí el plan de gobierno de y la verdad, me gustó.votaré por ellos el 29 de mayo.",POSITIVA
"gran encuentro entre la senadora y quien aspira a la presidencia de , . es el y la , con los ñía - , y el resto de todas las especies de .",POSITIVA
"hola, imaginen que 1.000.000 de progresistas nos siguiéramos en twitter entre sí, ese millón de cuentas escuchariamos tu voz presidente no dejes de seguir a todos1.dale like 2. dale 3. sígueme y te sigo sigue",NEUTRAL
te sigo,NEUTRAL
te sigo,NEUTRAL
esto la llena de esperanza???? un futuro desesperanzador para colombia.,NEGATIVA
desde las montañas cafeteras del sur occidente colombiano de corazón apoyo.,POSITIVA
"al parecer solo trina por trinar; dígame una cosa, el alcalde de medellín fue destituido, inhabilitado? antes de postear algo es mejor informarse bien. le dejo ese consejo ..!!",NEGATIVA
tú tuit no dice,NEUTRAL
"fuente wikipedia. qué fue lo ilegal, dónde está? ilustrame, pero sin copiar y pegar del libreto que están utilizando. golpe de estado",NEGATIVA
"a los alcaldes se les hace revocatoria más no golpes de estado. y daniel quintero ya la tenía lista, pero algo pasó en el . en la picota ya aceptaron a uno y los candidatos asesinados en colombia, solo dos peleaban contra los traquetos. no mandaban razones a la cárcel",NEGATIVA
"no desvíe el argumento del trino inicial, el señor fajardo resaltó algo en lo que él no tiene nada que ver, queriendo ganar adeptos con supuestos apoyos que no ha hecho, usted nombra a petro cuando él no ha mencionado ese evento para buscar que lo apoyen más. no defienda atacando",NEGATIVA
"los medellinenses, fuera quintero de la alcaldia, la procuradora se pronunció",NEGATIVA
"lo qué no cuadra es el mismo cuento chimbo de relacionar a petro con pablo escobar, por el m-19 y el palacio. si hay alguien relacionado con escobar es uribe, incluso eran primos lejanos.",NEGATIVA
desde el ó- quibdó la gente de los territorios se unen al petro presidente! ¿usted desde dónde se une?,NEUTRAL
